Timestamp,Event,cwnd,sstresh,Phase
2020-04-21 16:34:01.347872,Triple Duplicate,5862,1482,Fast Recovery
2020-04-21 16:34:01.349743,Retransmission,1460,2931,Slow Start
2020-04-21 16:34:01.349771,,2920,2931,Slow Start
2020-04-21 16:34:01.349771,,2931,2931,Congestion Avoidance
2020-04-21 16:34:01.459840,Retransmission,1460,1465,Slow Start
2020-04-21 16:34:01.459963,,1465,1465,Congestion Avoidance
2020-04-21 16:34:01.459964,,2925,1465,Congestion Avoidance
2020-04-21 16:34:01.459965,Triple Duplicate,5842,1462,Fast Recovery
2020-04-21 16:34:01.459966,,1462,1462,Congestion Avoidance
2020-04-21 16:34:01.459967,,2922,1462,Congestion Avoidance
2020-04-21 16:34:01.459968,Triple Duplicate,5841,1461,Fast Recovery
2020-04-21 16:34:01.461498,Retransmission,1460,2920,Slow Start
2020-04-21 16:34:01.461638,,2920,2920,Congestion Avoidance
2020-04-21 16:34:01.461639,,4380,2920,Congestion Avoidance
2020-04-21 16:34:01.461640,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.461641,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.461642,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.461643,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:01.461644,,1825,1825,Congestion Avoidance
2020-04-21 16:34:01.461645,,3285,1825,Congestion Avoidance
2020-04-21 16:34:01.461646,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.461647,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.461647,,3102,1642,Congestion Avoidance
2020-04-21 16:34:01.461649,Triple Duplicate,5931,1551,Fast Recovery
2020-04-21 16:34:01.461650,,1551,1551,Congestion Avoidance
2020-04-21 16:34:01.462918,Retransmission,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.463042,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.463044,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.463045,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.463046,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.463047,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.463047,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:01.463048,,1825,1825,Congestion Avoidance
2020-04-21 16:34:01.463049,,3285,1825,Congestion Avoidance
2020-04-21 16:34:01.463561,Retransmission,1460,1642,Slow Start
2020-04-21 16:34:01.463672,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.463674,,3102,1642,Congestion Avoidance
2020-04-21 16:34:01.463675,Triple Duplicate,5931,1551,Fast Recovery
2020-04-21 16:34:01.463676,,1551,1551,Congestion Avoidance
2020-04-21 16:34:01.585929,Retransmission,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.586060,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.586061,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.586061,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.586062,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.586063,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.586063,,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.586064,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.586065,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.587381,Retransmission,1460,2190,Slow Start
2020-04-21 16:34:01.587526,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.587527,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.587528,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:01.587529,,1825,1825,Congestion Avoidance
2020-04-21 16:34:01.587529,,3285,1825,Congestion Avoidance
2020-04-21 16:34:01.587530,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.587531,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.587531,,3102,1642,Congestion Avoidance
2020-04-21 16:34:01.587532,Triple Duplicate,5931,1551,Fast Recovery
2020-04-21 16:34:01.587533,,1551,1551,Congestion Avoidance
2020-04-21 16:34:01.587533,,3011,1551,Congestion Avoidance
2020-04-21 16:34:01.587534,Triple Duplicate,5885,1505,Fast Recovery
2020-04-21 16:34:01.587535,,1505,1505,Congestion Avoidance
2020-04-21 16:34:01.587535,,2965,1505,Congestion Avoidance
2020-04-21 16:34:01.587650,Retransmission,1460,1482,Slow Start
2020-04-21 16:34:01.587750,,1482,1482,Congestion Avoidance
2020-04-21 16:34:01.587752,,2942,1482,Congestion Avoidance
2020-04-21 16:34:01.587753,Triple Duplicate,5851,1471,Fast Recovery
2020-04-21 16:34:01.587754,,1471,1471,Congestion Avoidance
2020-04-21 16:34:01.587754,,2931,1471,Congestion Avoidance
2020-04-21 16:34:01.587755,Triple Duplicate,5845,1465,Fast Recovery
2020-04-21 16:34:01.587756,,1465,1465,Congestion Avoidance
2020-04-21 16:34:01.587757,,2925,1465,Congestion Avoidance
2020-04-21 16:34:01.587758,Triple Duplicate,5842,1462,Fast Recovery
2020-04-21 16:34:01.587759,,1462,1462,Congestion Avoidance
2020-04-21 16:34:01.587761,,2922,1462,Congestion Avoidance
2020-04-21 16:34:01.589713,Retransmission,1460,1461,Slow Start
2020-04-21 16:34:01.589835,,1461,1461,Congestion Avoidance
